# 携程西藏景点清单（1490 个，按点评数降序）
# 格式：景点名,URL
羌姆石窟,https://you.ctrip.com/sight/dinggye120378/145260738.html
西藏芒康滇金丝猴国家级自然保护区,https://you.ctrip.com/sight/markam2452/56114.html
纳帕海石卡雪山最大经幡打卡点,https://you.ctrip.com/sight/shangrila106/152799805.html
甘孜寺,https://you.ctrip.com/sight/ganzicounty3156/140200.html
甲玛王宫,https://you.ctrip.com/sight/maizhokunggar1446407/54489.html
石月亮观景台,https://you.ctrip.com/sight/fugong1446273/1712835.html
波瓦山,https://you.ctrip.com/sight/daochengcounty342/1697603.html
独龙江,https://you.ctrip.com/sight/gongshan1446282/4474870.html
班禅新宫,https://you.ctrip.com/sight/shigatse100/11790.html
达宗遗址,https://you.ctrip.com/sight/banbar120406/144198028.html
白马雪山垭口,https://you.ctrip.com/sight/deqin2178/1829538.html
湖心宫,https://you.ctrip.com/sight/lhasa36/1487698.html
新寨嘉那嘛呢石经城,https://you.ctrip.com/sight/yushucity1446308/50066.html
碧沽天池,https://you.ctrip.com/sight/shangrila106/2488159.html
香格里拉大峡谷巴拉格宗景区-回音壁,https://you.ctrip.com/sight/shangrila106/5710406.html
琉璃桥,https://you.ctrip.com/sight/lhasa36/1695923.html
尼农峡谷,https://you.ctrip.com/sight/deqin2178/133382.html
夯达营地,https://you.ctrip.com/sight/litang3150/135119222.html
白马雪山观景台,https://you.ctrip.com/sight/deqin2178/149856891.html
尼汝村,https://you.ctrip.com/sight/shangrila106/144953.html
梅里雪山观景台,https://you.ctrip.com/sight/deqin2178/4580141.html
唐蕃古道,https://you.ctrip.com/sight/yushucity1446308/50064.html
雅鲁藏布江水葬台,https://you.ctrip.com/sight/gongga120408/1727195.html
察隅县自驾露营点,https://you.ctrip.com/sight/zayu120394/152804623.html
拉萨日多温泉山庄,https://you.ctrip.com/sight/maizhokunggar1446407/54434.html
毛垭草原,https://you.ctrip.com/sight/batang3102/76748.html
笑农大本营,https://you.ctrip.com/sight/deqin2178/75779.html
通天河,https://you.ctrip.com/sight/chindu1446316/50113.html
卡萨湖,https://you.ctrip.com/sight/luhuo1446223/1416438.html
白玉寺,https://you.ctrip.com/sight/baiyu120485/133459.html
扎拉桶,https://you.ctrip.com/sight/gongshan1446282/72302.html
贡觉林卡,https://you.ctrip.com/sight/shigatse100/54962.html
黑石北湖,https://you.ctrip.com/sight/gertse120145/144372500.html
鲁普岩寺,https://you.ctrip.com/sight/lhasa36/1487742.html
巴嘎噶林,https://you.ctrip.com/sight/lhasa36/128964.html
澜沧江大峡谷,https://you.ctrip.com/sight/markam2452/1712892.html
扎西岗寺,https://you.ctrip.com/sight/garcounty120143/145187529.html
娘热民俗风情园,https://you.ctrip.com/sight/lhasa36/54442.html
格聂之眼,https://you.ctrip.com/sight/litang3150/5714229.html
曲孜卡温泉度假村,https://you.ctrip.com/sight/markam2452/144197484.html
滇藏界,https://you.ctrip.com/sight/gongshan1446282/150014855.html
多东寺,https://you.ctrip.com/sight/bome2436/144196701.html
走起侣行下雨崩村,https://you.ctrip.com/sight/deqin2178/148734215.html
飞来寺景区-2号观景台,https://you.ctrip.com/sight/deqin2178/145510176.html
扎西岗民俗村,https://you.ctrip.com/sight/nyingchi126/144196271.html
敏珠林寺,https://you.ctrip.com/sight/zhanang2451/11840.html
龙灯草原,https://you.ctrip.com/sight/daofu1446234/1786420.html
尼洋河观景台,https://you.ctrip.com/sight/nyingchi126/145133413.html?poiType=3&scene=online
古冰川,https://you.ctrip.com/sight/zayu120394/1830707.html?poiType=3&scene=online
拉萨《长征英雄》沉浸式XR体验馆,https://you.ctrip.com/sight/lhasa36/154000924.html
喜德寺,https://you.ctrip.com/sight/lhasa36/128913.html
