景点名称,URL,失败原因
古如江寺,https://you.ctrip.com/sight/garcounty120143/142246781.html,未取到 poiId（无点评或页面无评论模块）
芝达布日寺,https://you.ctrip.com/sight/garcounty120143/145200233.html,未取到 poiId（无点评或页面无评论模块）
八美镇,https://you.ctrip.com/sight/daofu1446234/22068.html,已获取 poiId 但未采集到评论
雨崩景区-神瀑,https://you.ctrip.com/sight/deqin2178/75755.html,已获取 poiId 但未采集到评论
孔雀山天心十二湖观景点,https://you.ctrip.com/sight/deqin2178/151277477.html,未取到 poiId（无点评或页面无评论模块）
三江源国家级自然保护区,https://you.ctrip.com/sight/chindu1446316/50054.html,已获取 poiId 但未采集到评论
拉姆央措湖,https://you.ctrip.com/sight/shangrila106/1487368.html,已获取 poiId 但未采集到评论
玉龙拉措景区,https://you.ctrip.com/sight/dege3140/22763.html,已获取 poiId 但未采集到评论
格聂山,https://you.ctrip.com/sight/litang3150/76751.html,已获取 poiId 但未采集到评论
雨崩上村,https://you.ctrip.com/sight/deqin2178/133340.html,已获取 poiId 但未采集到评论
玉树市文成公主纪念馆,https://you.ctrip.com/sight/yushucity1446308/50065.html,已获取 poiId 但未采集到评论
稻城亚丁-冲古草甸,https://you.ctrip.com/sight/daochengcounty342/1509005.html,已获取 poiId 但未采集到评论
鱼子西风景区(鱼子西星空营地),https://you.ctrip.com/sight/kangding344/143166387.html,未取到 poiId（无点评或页面无评论模块）
木雅金塔,https://you.ctrip.com/sight/kangding344/77559.html,已获取 poiId 但未采集到评论
那曲,https://you.ctrip.com/sight/amdocounty120385/145822265.html,未取到 poiId（无点评或页面无评论模块）
黄湖,https://you.ctrip.com/sight/banbar120406/144197156.html,未取到 poiId（无点评或页面无评论模块）
边坝寺,https://you.ctrip.com/sight/banbar120406/5715139.html,未取到 poiId（无点评或页面无评论模块）
奇林峡观景台,https://you.ctrip.com/sight/dinggye120378/145171852.html,未取到 poiId（无点评或页面无评论模块）
朗赛林庄园,https://you.ctrip.com/sight/zhanang2451/145309926.html,未取到 poiId（无点评或页面无评论模块）
雾浓顶观景台,https://you.ctrip.com/sight/deqin2178/128371.html,已获取 poiId 但未采集到评论
勒通古镇·千户藏寨,https://you.ctrip.com/sight/litang3150/134017757.html,已获取 poiId 但未采集到评论
格萨尔王城,https://you.ctrip.com/sight/ganzicounty3156/5706501.html,已获取 poiId 但未采集到评论
雨崩下村,https://you.ctrip.com/sight/deqin2178/133342.html,已获取 poiId 但未采集到评论
德格印经院,https://you.ctrip.com/sight/dege3140/22762.html,已获取 poiId 但未采集到评论
亚青寺,https://you.ctrip.com/sight/baiyu120485/133463.html,已获取 poiId 但未采集到评论
门东寺,https://you.ctrip.com/sight/coqen120146/144198338.html,未取到 poiId（无点评或页面无评论模块）
扎日南木错北岸观景台,https://you.ctrip.com/sight/coqen120146/152787979.html,未取到 poiId（无点评或页面无评论模块）
帕茹错,https://you.ctrip.com/sight/coqen120146/144372461.html,未取到 poiId（无点评或页面无评论模块）
措勤县尼姑寺,https://you.ctrip.com/sight/coqen120146/145484733.html,未取到 poiId（无点评或页面无评论模块）
嘎结古寺,https://you.ctrip.com/sight/yushucity1446308/50063.html,已获取 poiId 但未采集到评论
沱沱河,https://you.ctrip.com/sight/golmud332/147295.html,已获取 poiId 但未采集到评论
鱼子西,https://you.ctrip.com/sight/kangding344/5714236.html,已获取 poiId 但未采集到评论
奔子栏,https://you.ctrip.com/sight/deqin2178/110272.html,已获取 poiId 但未采集到评论
冰湖,https://you.ctrip.com/sight/deqin2178/75776.html,已获取 poiId 但未采集到评论
雾里村,https://you.ctrip.com/sight/gongshan1446282/1713046.html,已获取 poiId 但未采集到评论
扎日南木错南岸草帽山,https://you.ctrip.com/sight/coqen120146/152832596.html,未取到 poiId（无点评或页面无评论模块）
打加错,https://you.ctrip.com/sight/coqen120146/144372850.html,未取到 poiId（无点评或页面无评论模块）
扎日南木错南岸观景台,https://you.ctrip.com/sight/coqen120146/152803038.html,未取到 poiId（无点评或页面无评论模块）
桑木拉达坂,https://you.ctrip.com/sight/coqen120146/152722593.html,未取到 poiId（无点评或页面无评论模块）
夏岗江雪山观景台,https://you.ctrip.com/sight/coqen120146/152883609.html,未取到 poiId（无点评或页面无评论模块）
可可西里山,https://you.ctrip.com/sight/gertse120145/145206910.html,未取到 poiId（无点评或页面无评论模块）
小东湖,https://you.ctrip.com/sight/gertse120145/144372940.html,未取到 poiId（无点评或页面无评论模块）
平山湖,https://you.ctrip.com/sight/gertse120145/144372937.html,未取到 poiId（无点评或页面无评论模块）
小北湖,https://you.ctrip.com/sight/gertse120145/144457502.html,未取到 poiId（无点评或页面无评论模块）
独克宗花巷,https://you.ctrip.com/sight/shangrila106/4333342.html,已获取 poiId 但未采集到评论
东竹林寺,https://you.ctrip.com/sight/deqin2178/12297.html,已获取 poiId 但未采集到评论
尼果寺,https://you.ctrip.com/sight/markam2452/149553446.html,未取到 poiId（无点评或页面无评论模块）
邦达广场,https://you.ctrip.com/sight/basu120403/145203317.html,未取到 poiId（无点评或页面无评论模块）
稻城亚丁-扎灌崩,https://you.ctrip.com/sight/daochengcounty342/50830.html,已获取 poiId 但未采集到评论
仁康古街,https://you.ctrip.com/sight/litang3150/1833193.html,已获取 poiId 但未采集到评论
秋那桶,https://you.ctrip.com/sight/gongshan1446282/1713051.html,已获取 poiId 但未采集到评论
